run_id,avg_words_per_sentence,bullet_points_per_utterance,headings_per_utterance,sentence_complexity,lexical_diversity,formality_score,punctuation_density,output_structure_consistency,is_gemini,is_claude,is_gpt,is_llama,is_qwen,is_deepseek,is_mistral
5404,19.72151898734177,1.0,0.0,11.552470041227291,0.34337827121332276,0.007060333761232349,0.039647577092511016,0.2,0,0,0,1,0,0,0
5405,15.1,0.0,0.0,9.904375269280482,0.41543700340522133,0.0009478672985781991,0.033069186223712285,0.0,0,0,1,0,0,0,0
5406,19.864197530864196,0.0,0.0,14.329970149253736,0.3058446757405925,-0.018034825870646767,0.04866136034732272,0.2,0,0,0,1,0,0,0
5407,19.14814814814815,0.6,1.4,14.090995789873539,0.32212666145426117,0.018697614442295292,0.03465486392315661,0.4,0,0,1,0,0,0,0
5408,19.632653061224488,0.0,0.0,12.85779498493784,0.3794808405438813,-0.016632016632016633,0.025791707476330396,0.0,0,0,0,1,0,0,0
5409,17.755555555555556,0.0,0.0,13.620273675427619,0.41424418604651164,0.0012515644555694619,0.02033271719038817,0.0,0,0,1,0,0,0,0
5410,18.625,0.0,0.0,9.749924496644294,0.4154786150712831,-0.0016778523489932886,0.03129570049722141,0.0,0,0,0,1,0,0,0
5411,12.96,0.0,0.0,7.710696296296298,0.5255474452554745,0.024691358024691357,0.024377318494965553,0.0,0,0,1,0,0,0,0
5412,19.88888888888889,0.0,0.0,12.961356635965576,0.30238290879211177,0.002094972067039106,0.027193932827735644,0.0,0,0,0,1,0,0,0
5413,22.325,5.6,1.8,13.394900836192111,0.33722527472527475,0.027995520716685332,0.03793247186327636,0.6,0,0,1,0,0,0,0
5414,17.07547169811321,0.0,0.0,10.875179818617745,0.4171195652173913,-0.02541436464088398,0.030619469026548673,0.0,0,0,0,1,0,0,0
5415,13.46875,0.0,0.0,9.813160527842228,0.5069252077562327,0.004640371229698376,0.021134593993325918,0.0,0,0,1,0,0,0,0
5416,18.94,0.0,0.0,12.498016025840116,0.3448275862068966,-0.023231256599788808,0.0330134981297772,0.0,0,0,0,1,0,0,0
5417,19.723577235772357,4.4,3.0,14.617308341090698,0.30457380457380456,0.0016494845360824743,0.045077449672216746,0.8,0,0,1,0,0,0,0
5418,13.75609756097561,0.0,0.0,12.884561448025039,0.4143835616438356,-0.015985790408525755,0.045587843241802185,0.2,0,0,0,1,0,0,0
5419,10.69811320754717,0.0,0.0,9.134265378749369,0.4521158129175947,0.014234875444839857,0.036532328211075674,0.2,0,0,1,0,0,0,0
5420,16.761904761904763,0.0,0.0,9.668411733615226,0.39436619718309857,-0.03977272727272727,0.03323836657169991,0.0,0,0,0,1,0,0,0
